Drug_ID	Drug	Y	Species
"CHEMBL576257"	"Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ccc(F)cn3)n2)n[nH]1"	79.55	"Canis lupus familiaris"
"CHEMBL397237"	"C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12"	96.34	"Canis lupus familiaris"
"CHEMBL560993"	"Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O"	98.86	"Canis lupus familiaris"
"CHEMBL108"	"NC(=O)N1c2ccccc2C=Cc2ccccc21"	72.91	"Canis lupus familiaris"
"CHEMBL11"	"CN(C)CCCN1c2ccccc2CCc2ccccc21"	95.63	"Canis lupus familiaris"
"CHEMBL2312933"	"CCCN(c1cccnc1)P(=O)(c1ccccc1)c1ccccc1"	82.39	"Canis lupus familiaris"
"CHEMBL507674"	"CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O"	32.37	"Canis lupus familiaris"
"CHEMBL1000"	"O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1"	90.12	"Canis lupus familiaris"
"CHEMBL1917446"	"Cc1ccc2c(c1)c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O"	98.33	"Canis lupus familiaris"
"CHEMBL1790041"	"CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1"	28.95	"Canis lupus familiaris"
"CHEMBL645"	"CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1"	25.75	"Canis lupus familiaris"
"CHEMBL105462"	"C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O"	81.71	"Canis lupus familiaris"
"CHEMBL2338406"	"CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1"	89.05	"Canis lupus familiaris"
"CHEMBL1789187"	"N#Cc1ccc(C(F)(F)F)nc1O[C@H](CCN)c1ccno1"	46.55	"Canis lupus familiaris"
"CHEMBL141157"	"C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O"	46.55	"Canis lupus familiaris"
"CHEMBL212777"	"Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O"	99.65	"Canis lupus familiaris"
"CHEMBL380192"	"CC(C)Cc1nn(C)c(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc12"	99.87	"Canis lupus familiaris"
"CHEMBL8"	"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O"	31.37	"Canis lupus familiaris"
"CHEMBL216981"	"CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1"	91.1	"Canis lupus familiaris"
"CHEMBL453"	"Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C"	86.59	"Canis lupus familiaris"
"CHEMBL205807"	"CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21"	55.73	"Canis lupus familiaris"
"CHEMBL1625921"	"O=C(NC12CC3CC(CC(C3)C1)C2)OCCNC1CCCCC1"	84.0	"Canis lupus familiaris"
"CHEMBL2158841"	"O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1"	77.62	"Canis lupus familiaris"
"CHEMBL2151326"	"COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1"	65.06	"Canis lupus familiaris"
"CHEMBL23"	"COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1"	65.06	"Canis lupus familiaris"
"CHEMBL538936"	"O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(F)cc1"	99.6	"Canis lupus familiaris"
"CHEMBL2171021"	"Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)c4cccc(S(C)(=O)=O)c4)CC3)CC2)c1Cl"	96.5	"Canis lupus familiaris"
"CHEMBL211677"	"Cc1ccc2c(c1)c(-c1cc(C)nc3ccccc13)c(C)n2CC(=O)O"	98.67	"Canis lupus familiaris"
"CHEMBL2338409"	"CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1"	90.91	"Canis lupus familiaris"
"CHEMBL569185"	"COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@H]2c2ccc(OC)cc2)cc1"	91.1	"Canis lupus familiaris"
"CHEMBL2164740"	"N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@H](O)C3)c2c1"	39.23	"Canis lupus familiaris"
"CHEMBL589973"	"CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1"	98.29	"Canis lupus familiaris"
"CHEMBL2337979"	"CC(C)(C)NC(=O)NCCN1CCCC(NC(=O)c2cc(Cl)cc(Cl)c2)C1"	93.67	"Canis lupus familiaris"
"CHEMBL402986"	"C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12"	97.81	"Canis lupus familiaris"
"CHEMBL2316386"	"C[S+]([O-])Cc1ccc(C(=O)Nc2ccc(OCCOCCO)nc2C(=O)NCC2CCC2)c2ccccc12"	94.19	"Canis lupus familiaris"
"CHEMBL2207666"	"O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12"	97.71	"Canis lupus familiaris"
"CHEMBL2335897"	"C[C@@H](NC(=O)[C@H]1CCCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1"	88.59	"Canis lupus familiaris"
"CHEMBL1934422"	"Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCOCC2)cc1"	47.12	"Canis lupus familiaris"
"CHEMBL2335893"	"COCCC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1"	95.12	"Canis lupus familiaris"
"CHEMBL2151325"	"CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1"	75.97	"Canis lupus familiaris"
"CHEMBL1789186"	"N#Cc1cc(F)c(Cl)cc1O[C@H](CCN)c1ccccc1"	95.43	"Canis lupus familiaris"
"CHEMBL514257"	"OC[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1"	95.01	"Canis lupus familiaris"
"CHEMBL502"	"COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2"	38.69	"Canis lupus familiaris"
"CHEMBL2151324"	"CC(C)Oc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1"	75.12	"Canis lupus familiaris"
"CHEMBL2029729"	"CNC(=O)CCCN(C)C(=O)c1ccc2c(c1)c1c(n2C)CC[C@@H](C2CCOCC2)C1"	74.25	"Canis lupus familiaris"
"CHEMBL577902"	"CCCSc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1"	40.89	"Canis lupus familiaris"
"CHEMBL1823817"	"COC[C@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O"	44.84	"Canis lupus familiaris"
"CHEMBL2164741"	"N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@@H](O)C3)c2c1"	39.78	"Canis lupus familiaris"
"CHEMBL2333941"	"C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1"	37.06	"Canis lupus familiaris"
"CHEMBL272705"	"C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12"	97.26	"Canis lupus familiaris"
"CHEMBL1464"	"CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O"	96.79	"Canis lupus familiaris"
"CHEMBL35"	"NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl"	96.93	"Canis lupus familiaris"
"CHEMBL205742"	"CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21"	16.96	"Canis lupus familiaris"
"CHEMBL2151197"	"CCNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1"	19.35	"Canis lupus familiaris"
"CHEMBL403313"	"CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12"	98.04	"Canis lupus familiaris"
"CHEMBL2069411"	"O=C(N[C@@H]1COc2cccc(-c3ccc(CO)nc3)c2C1)c1ccc(OCC(F)(F)F)nc1"	95.23	"Canis lupus familiaris"
"CHEMBL1516"	"CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1"	98.81	"Canis lupus familiaris"
"CHEMBL2179275"	"Cc1cn([C@H]2CCCN([C@H](CC(C)C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O"	96.34	"Canis lupus familiaris"
"CHEMBL481212"	"CCOc1cc2ncc(C(N)=O)c(Nc3cc(C)ccc3F)c2cc1N1CCN(C)CC1"	63.47	"Canis lupus familiaris"
"CHEMBL570002"	"Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1"	60.22	"Canis lupus familiaris"
"CHEMBL42"	"CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1"	92.64	"Canis lupus familiaris"
"CHEMBL375166"	"Cc1n[nH]c(C)c1Cc1sc2c(c1C(=O)N1C[C@H](O)CO1)c(=O)n(C)c(=O)n2CC(C)C"	34.42	"Canis lupus familiaris"
"CHEMBL1689109"	"O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1"	96.0	"Canis lupus familiaris"
"CHEMBL387125"	"CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C"	67.12	"Canis lupus familiaris"
"CHEMBL2313226"	"O=P(c1ccccc1)(c1ccccc1)N(Cc1ccccn1)c1cccnc1"	79.17	"Canis lupus familiaris"
"CHEMBL184"	"Nc1nc(O)c2ncn(COCCO)c2n1"	25.75	"Canis lupus familiaris"
"CHEMBL642"	"CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1"	21.21	"Canis lupus familiaris"
"CHEMBL2181753"	"CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)NCc1ccccc1"	99.61	"Canis lupus familiaris"
"CHEMBL113"	"Cn1c(=O)c2c(ncn2C)n(C)c1=O"	14.52	"Canis lupus familiaris"
"CHEMBL2337982"	"O=C(CN1CCN(CCC2CCOCC2)CC1)NC12CC3CC(CC(C3)C1)C2"	56.86	"Canis lupus familiaris"
"CHEMBL72"	"CNCCCN1c2ccccc2CCc2ccccc21"	95.33	"Canis lupus familiaris"
"CHEMBL1916272"	"CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1"	95.82	"Canis lupus familiaris"
"CHEMBL49"	"O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1"	67.12	"Canis lupus familiaris"
"CHEMBL1939560"	"C[C@H](c1nc2ncccc2c(=O)n1-c1ccc(Cl)cc1)N(CC1CCS(=O)(=O)CC1)C(=O)Cc1ccc(C(F)(F)F)c(F)c1"	94.56	"Canis lupus familiaris"
"CHEMBL2337977"	"CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1"	92.16	"Canis lupus familiaris"
"CHEMBL1671897"	"COc1ccc(CC(=O)NCc2ccccc2-c2ccccc2C(=O)NCCc2cccnc2)cc1"	92.95	"Canis lupus familiaris"
"CHEMBL1428"	"COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1"	98.84	"Canis lupus familiaris"
"CHEMBL398748"	"COc1ccc2c(C)cc(N[C@H]3CC[C@H](NCc4cn(C)c5ccc(C#N)cc45)C3)nc2c1"	97.91	"Canis lupus familiaris"
"CHEMBL361812"	"O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2"	95.63	"Canis lupus familiaris"
"CHEMBL1683031"	"CCOc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCN(C)CC1"	93.8	"Canis lupus familiaris"
"CHEMBL193"	"COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]"	92.64	"Canis lupus familiaris"
"CHEMBL2152523"	"c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1"	83.68	"Canis lupus familiaris"
"CHEMBL1789155"	"N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1"	87.37	"Canis lupus familiaris"
"CHEMBL549"	"CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21"	59.66	"Canis lupus familiaris"
"CHEMBL1916532"	"COc1ccc2ncc(F)c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1"	90.32	"Canis lupus familiaris"
"CHEMBL1916271"	"CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1"	99.75	"Canis lupus familiaris"
"CHEMBL1287853"	"Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1"	80.29	"Canis lupus familiaris"
"CHEMBL1294"	"C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12"	93.8	"Canis lupus familiaris"
"CHEMBL2349312"	"CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2[nH]c(=O)sc12"	99.81	"Canis lupus familiaris"
"CHEMBL2338408"	"CC(C)(C)NC(=O)NCCN1CCOC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1"	91.82	"Canis lupus familiaris"
"CHEMBL569184"	"COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1"	91.46	"Canis lupus familiaris"
"CHEMBL2152903"	"CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1"	99.74	"Canis lupus familiaris"
"CHEMBL1161"	"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl"	99.7	"Canis lupus familiaris"
"CHEMBL2011120"	"CCOc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1"	56.86	"Canis lupus familiaris"
"CHEMBL148674"	"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1"	87.11	"Canis lupus familiaris"
"CHEMBL2158793"	"Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1"	49.42	"Canis lupus familiaris"
"CHEMBL223402"	"O=C(Nc1ccccc1F)N[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O"	96.93	"Canis lupus familiaris"
"CHEMBL109980"	"CC(C)(N)C(=O)N[C@H](COCc1ccc(F)cc1F)C(=O)N1CCC2=NN(CC(F)(F)F)C(=O)[C@]2(Cc2ccccn2)C1"	54.59	"Canis lupus familiaris"
"CHEMBL2179270"	"Cc1cn([C@H]2CCCN([C@@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O"	94.68	"Canis lupus familiaris"
"CHEMBL2048863"	"N[C@H]1CCN(c2c(Cl)cccc2/C=C2\SC(=O)NC2=O)C1"	94.19	"Canis lupus familiaris"
"CHEMBL1689117"	"O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1"	92.32	"Canis lupus familiaris"
"CHEMBL2147474"	"COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OC[C@H](O)C1CC1"	99.86	"Canis lupus familiaris"
"CHEMBL1900528"	"C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21"	19.35	"Canis lupus familiaris"
"CHEMBL38182"	"N#Cc1ccc(NC(=O)Nc2ccccc2Br)c2nn[nH]c12"	99.51	"Canis lupus familiaris"
"CHEMBL2338403"	"CC(C)(C)S(=O)(=O)CCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1"	71.05	"Canis lupus familiaris"
"CHEMBL320876"	"COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O"	52.3	"Canis lupus familiaris"
"CHEMBL2158769"	"N#Cc1ccccc1C[C@@H](C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1"	93.39	"Canis lupus familiaris"
"CHEMBL85752"	"CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc21"	99.66	"Canis lupus familiaris"
"CHEMBL475534"	"CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1"	98.92	"Canis lupus familiaris"
"CHEMBL1778646"	"CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1"	99.18	"Canis lupus familiaris"
"CHEMBL392559"	"O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2C[C@@H]3C[C@H]2CN3)ccc1Cl"	88.59	"Canis lupus familiaris"
"CHEMBL2011441"	"COc1nc(Br)cnc1NS(=O)(=O)c1ccc(Cl)s1"	98.76	"Canis lupus familiaris"
"CHEMBL427851"	"Cc1oc(CN2CCNCC2)cc1C(=O)NCC12CC3CC(CC(C3)C1)C2"	56.3	"Canis lupus familiaris"
"CHEMBL2017291"	"COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12"	89.49	"Canis lupus familiaris"
"CHEMBL569720"	"Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)c(C#N)nc2C)n[nH]1"	54.59	"Canis lupus familiaris"
"CHEMBL1778644"	"CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1"	99.16	"Canis lupus familiaris"
"CHEMBL1435"	"Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1"	27.55	"Canis lupus familiaris"
"CHEMBL1650726"	"Cc1cc(Nc2nc(O[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1"	51.15	"Canis lupus familiaris"
"CHEMBL1624529"	"NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12"	71.99	"Canis lupus familiaris"
"CHEMBL2325642"	"O=S(=O)(Nc1ncns1)c1cc(F)c(Oc2ccc(Cl)cc2-c2ccnn2C2CNC2)cc1F"	95.63	"Canis lupus familiaris"
"CHEMBL1951575"	"CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1"	99.61	"Canis lupus familiaris"
"CHEMBL249790"	"OCCO[C@H]1C[C@@H](n2nnc3c(N[C@@H]4C[C@H]4c4ccc(F)c(F)c4)nc(SCCC(F)(F)F)nc32)[C@H](O)[C@@H]1O"	99.54	"Canis lupus familiaris"
"CHEMBL560377"	"c1ccc2nc(COc3ccc(-c4n[nH]cc4-c4ccncc4)cc3)ccc2c1"	99.8	"Canis lupus familiaris"
"CHEMBL1232461"	"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21"	67.63	"Canis lupus familiaris"
"CHEMBL832"	"O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1"	94.32	"Canis lupus familiaris"
"CHEMBL219916"	"O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1"	91.28	"Canis lupus familiaris"
"CHEMBL1778628"	"N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1"	96.42	"Canis lupus familiaris"
